DateTime,Entries,UniqueIPs
1494353315,1576,1576
1494364311,1580,1580
1494375196,1575,1575
1494386089,1572,1572
1494396782,1583,1583
1494407747,1585,1585
1494418764,1586,1586
1494429789,1580,1580
1494440711,1574,1574
1494451639,1565,1565
1494462735,1563,1563
1494473633,1557,1557
1494484451,1549,1549
1494495141,1542,1542
1494506089,1536,1536
1494516677,1534,1534
1494527748,1528,1528
1494538782,1527,1527
1494549756,1523,1523
1494560519,1527,1527
1494571401,1528,1528
1494582653,1527,1527
1494593747,1528,1528
1494604788,1520,1520
1494615395,1523,1523
1494626287,1515,1515
1494637271,1520,1520
1494648482,1521,1521
1494659123,1524,1524
1494670346,1523,1523
1494682071,1520,1520
1494693076,1517,1517
1494704072,1507,1507
1494715117,1501,1501
1494726282,1500,1500
1494736765,1492,1492
1494747756,1490,1490
1494758861,1487,1487
1494769871,1487,1487
1494780874,1492,1492
1494791967,1493,1493
1494802880,1491,1491
1494813874,1487,1487
1494824796,1492,1492
1494835900,1492,1492
1494846925,1480,1480
1494858037,1482,1482
1494868878,1478,1478
1494879777,1479,1479
1494891134,1473,1473
1494901787,1469,1469
1494912597,1460,1460
1494923398,1456,1456
1494934191,1456,1456
1494945052,1452,1452
1494956189,1457,1457
1494967182,1456,1456
1494978168,1459,1459
1494989221,1457,1457
1495000372,1455,1455
1495011385,1456,1456
1495022024,1456,1456
1495032868,1456,1456
1495044029,1458,1458
1495054908,1455,1455
1495065590,1450,1450
1495076598,1456,1456
1495086947,1461,1461
1495098002,1461,1461
1495108333,1466,1466
1495119232,1467,1467
1495129976,1469,1469
1495140782,1464,1464
1495151746,1470,1470
1495162867,1460,1460
1495174061,1456,1456
1495185094,1458,1458
1495196135,1455,1455
1495207196,1450,1450
1495218161,1439,1439
1495229203,1435,1435
1495240273,1438,1438
1495251085,1438,1438
1495262166,1437,1437
1495273151,1433,1433
1495284237,1428,1428
1495295277,1429,1429
1495306587,1424,1424
1495317608,1420,1420
1495328630,1414,1414
1495339695,1407,1407
1495350752,1399,1399
1495361720,1399,1399
1495372770,1404,1404
1495383830,1398,1398
1495394548,1394,1394
1495407383,1388,1388
1495418260,1389,1389
1495429095,1384,1384
1495440035,1383,1383
1495450882,1376,1376
1495462095,1378,1378
1495472758,1373,1373
1495483107,1373,1373
1495494119,1371,1371
1495505050,1370,1370
1495515983,1368,1368
1495526769,1370,1370
1495537677,1368,1368
1495548450,1362,1362
1495559386,1362,1362
1495570296,1362,1362
1495581394,1365,1365
1495592388,1363,1363
1495603294,1361,1361
1495614466,1362,1362
1495625549,1360,1360
1495636857,1357,1357
1495647839,1359,1359
1495658907,1357,1357
1495669873,1353,1353
1495680897,1349,1349
1495691942,1347,1347
1495702867,1344,1344
1495713800,1346,1346
1495724906,1344,1344
1495735761,1336,1336
1495746955,1329,1329
1495757845,1332,1332
1495768498,1327,1327
1495779460,1323,1323
1495790403,1321,1321
1495801436,1324,1324
1495812249,1313,1313
1495822931,1311,1311
1495833793,1311,1311
1495844785,1312,1312
1495855694,1305,1305
1495866711,1305,1305
1495877711,1296,1296
1495888808,1289,1289
1495899846,1287,1287
1495910828,1282,1282
1495921718,1284,1284
1495932727,1277,1277
1495943235,1279,1279
1495954344,1270,1270
1495965143,1266,1266
1495975955,1266,1266
1495987333,1255,1255
1495998269,1254,1254
1496009210,1245,1245
1496020305,1243,1243
1496031279,1248,1248
1496042352,1243,1243
1496053275,1248,1248
1496064229,1245,1245
1496075227,1246,1246
1496086097,1242,1242
1496097384,1240,1240
1496108345,1243,1243
1496119441,1242,1242
1496130726,1237,1237
1496141524,1234,1234
1496152580,1236,1236
1496163540,1235,1235
1496174363,1233,1233
1496184944,1232,1232
1496195956,1231,1231
1496206886,1228,1228
1496217431,1228,1228
1496228475,1228,1228
1496239699,1228,1228
1496250523,1230,1230
1496261395,1233,1233
1496272336,1234,1234
1496283320,1232,1232
1496294412,1229,1229
1496305427,1225,1225
1496316309,1221,1221
1496327280,1220,1220
1496339481,1223,1223
1496352930,1221,1221
1496363986,1224,1224
1496374931,1226,1226
1496385584,1215,1215
1496396603,1208,1208
1496407550,1209,1209
1496418482,1206,1206
1496429212,1204,1204
1496440137,1202,1202
1496451087,1206,1206
1496462774,1203,1203
1496473704,1203,1203
1496484691,1201,1201
1496495752,1198,1198
1496506754,1197,1197
1496517801,1192,1192
1496528845,1192,1192
1496539957,1188,1188
1496550942,1186,1186
1496561920,1189,1189
1496572960,1189,1189
1496583966,1193,1193
1496594838,1191,1191
1496605641,1190,1190
1496616703,1191,1191
1496627592,1201,1201
1496638469,1202,1202
1496649674,1208,1208
1496660851,1207,1207
1496671629,1204,1204
1496682618,1209,1209
1496693471,1214,1214
1496704402,1216,1216
1496715347,1221,1221
1496726335,1219,1219
1496737439,1222,1222
1496748461,1222,1222
1496759508,1225,1225
1496770792,1223,1223
1496781789,1223,1223
1496792840,1223,1223
1496803782,1226,1226
1496814626,1229,1229
1496825305,1228,1228
1496836210,1225,1225
1496846938,1227,1227
1496857882,1227,1227
1496868930,1231,1231
1496880077,1220,1220
1496891007,1221,1221
1496901916,1226,1226
1496913144,1222,1222
1496924187,1226,1226
1496935199,1231,1231
1496946057,1230,1230
1496956843,1234,1234
1496967335,1240,1240
1496978262,1244,1244
1496989185,1244,1244
1497000257,1246,1246
1497011113,1250,1250
1497022004,1252,1252
1497033049,1251,1251
1497044051,1254,1254
1497055118,1253,1253
1497066156,1257,1257
1497077204,1258,1258
1497088195,1264,1264
1497099087,1269,1269
1497110123,1271,1271
1497121237,1276,1276
1497132102,1274,1274
1497142834,1273,1273
1497153793,1268,1268
1497164842,1273,1273
1497176419,1270,1270
1497187385,1276,1276
1497198621,1276,1276
1497209568,1277,1277
1497220558,1272,1272
1497231211,1267,1267
1497242159,1258,1258
1497253193,1261,1261
1497264098,1255,1255
1497275105,1253,1253
1497286013,1254,1254
1497297072,1251,1251
1497308060,1246,1246
1497318926,1251,1251
1497330070,1247,1247
1497340657,1249,1249
1497351406,1247,1247
1497362425,1238,1238
1497373689,1239,1239
1497383958,1239,1239
1497394924,1239,1239
1497405821,1241,1241
1497416860,1239,1239
1497427915,1238,1238
1497438929,1236,1236
1497450015,1231,1231
1497460974,1234,1234
1497472024,1237,1237
1497483102,1238,1238
1497494301,1240,1240
1497505035,1239,1239
1497515820,1245,1245
1497526771,1246,1246
1497537566,1249,1249
1497548677,1251,1251
1497559360,1251,1251
1497570348,1257,1257
1497581234,1258,1258
1497592268,1258,1258
1497603189,1258,1258
1497614032,1260,1260
1497624666,1262,1262
1497635816,1265,1265
1497646847,1266,1266
1497658018,1271,1271
1497669389,1273,1273
1497680630,1271,1271
1497691524,1275,1275
1497702463,1277,1277
1497713530,1273,1273
1497724566,1273,1273
1497735632,1273,1273
1497746630,1283,1283
1497757667,1287,1287
1497768746,1283,1283
1497779736,1280,1280
1497790916,1277,1277
1497801678,1280,1280
1497812637,1286,1286
1497823609,1282,1282
1497834691,1281,1281
1497845631,1288,1288
1497856691,1285,1285
1497867476,1290,1290
1497878380,1288,1288
1497889296,1284,1284
1497900093,1280,1280
1497910943,1278,1278
1497922048,1274,1274
1497932979,1274,1274
1497943934,1272,1272
1497955231,1274,1274
1497966252,1272,1272
1497977257,1278,1278
1497988355,1281,1281
1497999345,1278,1278
1498010432,1274,1274
1498021379,1272,1272
1498032408,1275,1275
1498043445,1276,1276
1498054160,1276,1276
1498064956,1278,1278
1498075687,1282,1282
1498086734,1278,1278
1498097705,1279,1279
1498108644,1282,1282
1498119609,1280,1280
1498130655,1277,1277
1498141504,1278,1278
1498152420,1274,1274
1498163353,1275,1275
1498174602,1275,1275
1498185634,1266,1266
1498196638,1265,1265
1498207301,1259,1259
1498218018,1258,1258
1498229025,1261,1261
1498239886,1260,1260
1498250906,1259,1259
1498261753,1260,1260
1498272718,1258,1258
1498283746,1257,1257
1498294853,1262,1262
1498305995,1261,1261
1498317039,1258,1258
1498328049,1262,1262
1498339023,1260,1260
1498349991,1261,1261
1498361013,1260,1260
1498372354,1261,1261
1498383085,1260,1260
1498394178,1259,1259
1498405456,1260,1260
1498416693,1259,1259
1498427475,1255,1255
1498438378,1260,1260
1498449387,1266,1266
1498460401,1258,1258
1498471382,1254,1254
1498482267,1255,1255
1498493279,1253,1253
1498504665,1259,1259
1498515856,1258,1258
1498526791,1259,1259
1498537703,1258,1258
1498548643,1265,1265
1498559471,1257,1257
1498570555,1255,1255
1498581498,1253,1253
1498592194,1254,1254
1498603074,1249,1249
1498613994,1247,1247
1498624976,1245,1245
1498635863,1248,1248
1498647130,1252,1252
1498658116,1246,1246
1498669201,1241,1241
1498680231,1241,1241
1498691282,1240,1240
1498702353,1242,1242
1498713587,1241,1241
1498724586,1242,1242
